model,year,odometer,price,location,driveTrain,DAS,accident_history,paintJob,wheels,emi,zipCode,interior,state,PAINT JOB,DRIVE TRAIN
Model 3,2017,25909,29500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,18’’ Aero Wheels,$450 /mo,91801,Black and White Partial Premium Interior,CA,Solid Black,100D AWD-Long Range
Model 3,2017,25909,29500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Autopilot,No Reported Accidents/Damage,Solid Black Paint,18’’ Aero Wheels,$450 /mo,93311,Black and White Partial Premium Interior,CA,Solid Black,100D AWD-Long Range
Model 3,2017,25710,33500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,19’’ Sport Wheels,$522 /mo,91301,Black and White Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,25710,33500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,19’’ Sport Wheels,$522 /mo,91801,Black and White Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model 3,2017,25710,33500,"Walnut, CA",Model 3 Standard Range Plus Rear-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Pearl White Paint,19’’ Sport Wheels,$522 /mo,93311,Black and White Partial Premium Interior,CA,Pearl White,100D AWD-Long Range
Model S,2012,33368,51500,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$791 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,CA,Midnight Silver,100D AWD-Long Range
Model S,2012,42529,52500,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"21"" Sonic Carbon Twin Turbine Wheels",$809 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,CA,Midnight Silver,100D AWD-Long Range
Model S,2012,28579,54000,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$836 /mo,85209,All Black Premium Interior with Figured Ash Wood Décor,CA,Midnight Silver,100D AWD-Long Range
Model S,2012,37443,56400,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Full Self-Driving Capability,No Reported Accidents/Damage,Midnight Silver Metallic Paint,"19"" Sonic Carbon Slipstream Wheels",$880 /mo,85209,Cream Premium Interior with Oak Wood Décor,CA,Midnight Silver,100D AWD-Long Range
Model S,2012,16994,58800,"Walnut, CA",Model S Long Range Plus All-Wheel Drive,Enhanced Autopilot,No Reported Accidents/Damage,Midnight Silver Metallic Paint,19'' Tempest Wheels,$923 /mo,85209,Cream Premium Interior with Oak Wood Décor,CA,Midnight Silver,100D AWD-Long Range
